weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_precip_mm,station_temp
37,2000-09-16,0.2846571,0.3097571,0.3878833,0.3281571,34.62,26.708571429000017,20.49000000000001,37.55000000000001,19.150000000000034,4.1,71.66,13.857142857100001,18.9,27.474999999999998
38,2000-09-23,0.3488143,0.2957167,0.4048429,0.2425714,97.55,24.28571428600003,19.55714285700003,37.05000000000001,15.150000000000034,3.2,77.4871428571,11.3142857143,104.2,28.011111111099996
39,2000-09-30,0.17568570000000003,0.09948333,0.2257143,0.18278570000000002,95.89,26.20571428599999,20.06714285700002,37.650000000000034,16.850000000000023,2.6,71.4628571429,14.9428571429,57.9,27.21666666666667
40,2000-10-07,0.33754,0.2769429,0.2775,0.25505,46.22,25.222857143,21.51428571400004,36.650000000000034,19.55000000000001,16.6,82.3714285714,11.9714285714,63.0,26.900000000000002
41,2000-10-14,0.22353330000000002,0.1339143,0.3498,0.1009167,31.1,25.32428571400004,21.442857143000026,36.05000000000001,18.75,21.9,81.5228571429,13.485714285699999,3.0,27.552380952366665
42,2000-10-21,0.2748,0.1870571,0.3739429,0.27947140000000004,25.21,26.06142857100002,20.857142857000042,38.650000000000034,19.150000000000034,9.9,75.54,14.9285714286,45.2,28.258333333333336
43,2000-10-28,0.3673,0.30555,0.45538,0.3258,49.25,26.391428571000006,21.55857142900004,37.05000000000001,18.75,23.3,76.94142857140001,13.457142857100001,57.9,27.53333333333333
44,2000-11-04,0.2951,0.21151999999999999,0.3044,0.2796167,67.64,26.29000000000002,22.124285714000052,39.05000000000001,19.25,20.2,79.4285714286,13.328571428599998,7.1,28.066666666666666
45,2000-11-11,0.2713667,0.15156670000000003,0.34725,0.23186669999999998,51.83,27.59857142900006,22.129999999999995,37.25,21.150000000000034,19.2,74.8028571429,12.871428571400001,13.5,28.291666666666668
46,2000-11-18,0.09993333,0.03586,0.1954857,0.06418333,39.25,28.487142857000038,21.082857143000012,38.650000000000034,21.05000000000001,3.6,67.1857142857,13.371428571400001,0.0,29.041666666666668
47,2000-11-25,0.16998329999999998,0.2893,0.3009833,0.1709167,55.91,27.722857143,19.910000000000025,37.950000000000045,20.450000000000045,11.2,66.0428571429,13.142857142899999,,28.566666666666666
48,2000-12-02,0.2519714,0.2538,0.3235143,0.3191,20.65,26.08000000000004,21.56714285700002,36.85000000000002,20.350000000000023,14.5,78.88571428569999,12.014285714300001,19.0,27.416666666666668
49,2000-12-09,0.1658333,0.18241429999999997,0.2545667,0.18625,24.53,27.092857143000003,20.155714286000034,39.05000000000001,18.850000000000023,1.7,68.5571428571,15.457142857100001,0.8,28.0
50,2000-12-16,0.3387857,0.31682859999999996,0.3503429,0.2977,111.06,25.607142857000042,21.370000000000005,38.25,18.75,48.76,80.4085714286,11.9714285714,67.2,27.1388888889
51,2000-12-23,0.2650143,0.16905710000000002,0.23486669999999998,0.3022429,3.9,27.26142857100001,17.942857143000026,38.05000000000001,21.450000000000045,5.7,60.641428571400006,13.0,0.0,28.066666666666666
1,2001-01-01,0.2547143,0.2285286,0.2505857,0.287,59.11,24.80857142900004,23.840000000000032,32.35000000000002,20.05000000000001,64.6,94.9557142857,6.94285714286,38.9,27.477777777766665
2,2001-01-08,0.3021333,0.20351670000000002,0.2674333,0.27399999999999997,69.85,24.894285714000034,21.195714285999998,36.650000000000034,19.350000000000023,22.98,82.3471428571,11.0857142857,59.9,26.96666666666667
3,2001-01-15,0.17475710000000003,0.1033167,0.2582429,0.1767286,149.71,25.218571429000065,21.911428570999988,35.55000000000001,20.850000000000023,24.92,84.1757142857,11.014285714300001,52.0,26.849999999999998
4,2001-01-22,0.2376,0.1912667,0.12585710000000003,0.2314429,50.02,22.57285714300002,21.444285714000046,28.650000000000034,19.150000000000034,88.03,94.05714285709999,5.62857142857,166.9,25.6388888889
5,2001-01-29,0.3415,0.2606667,0.3293857,0.36907140000000005,87.18,22.147142857000006,21.26142857100001,29.05000000000001,19.05000000000001,80.95,95.40714285709998,5.1428571428600005,147.8,26.477777777766665
6,2001-02-05,0.2335857,0.161,0.1966143,0.2267,31.93,22.361428571000033,20.25857142900003,30.450000000000045,19.350000000000023,16.4,89.08,6.17142857143,3.3,27.75
7,2001-02-12,0.15541429999999998,0.13501670000000002,0.1485286,0.1571,66.84,22.220000000000027,21.288571429000058,31.25,19.150000000000034,37.96,94.8842857143,6.04285714286,83.1,26.766666666666666
8,2001-02-19,0.1353714,0.0823,0.12975710000000001,0.18404289999999998,16.17,22.920000000000016,21.58000000000004,31.25,17.450000000000045,34.18,92.84285714290002,7.585714285710001,38.1,27.044444444433335
9,2001-02-26,0.30764,0.2282167,0.2245,0.2912833,47.14,23.888571429000024,22.617142857000033,31.950000000000045,20.55000000000001,26.96,93.3142857143,7.385714285710001,21.1,26.753333333333334
10,2001-03-05,0.18204289999999998,0.289,0.20687139999999998,0.2063286,118.07,24.468571429000065,23.310000000000002,32.650000000000034,21.650000000000034,83.89,94.09285714290002,6.58571428571,87.1,26.833333333333332
11,2001-03-12,0.20538330000000002,0.1769,0.2063571,0.2041286,74.34,23.640000000000043,22.394285714000034,36.150000000000034,19.650000000000034,195.2,94.0942857143,8.28571428571,39.9,27.083333333333332
12,2001-03-19,0.18834289999999998,0.1950333,0.1635429,0.28414290000000003,90.35,25.55142857100003,22.00714285700002,36.55000000000001,20.05000000000001,32.6,82.80142857140001,10.6142857143,70.8,27.177777777766664
13,2001-03-26,0.16238,0.15081670000000003,0.09465714,0.13225710000000002,94.06,23.702857143000017,22.928571429000044,30.05000000000001,19.650000000000034,304.52,95.9242857143,6.2,80.0,27.083333333333332
14,2001-04-02,0.2678143,0.3126429,0.2615,0.2584,86.46,23.155714286000034,22.54571428600002,32.35000000000002,19.75,91.43,96.7371428571,6.65714285714,46.2,27.55333333333333
15,2001-04-09,0.3827571,0.37097140000000006,0.3438857,0.37627140000000003,80.82,24.02571428599998,22.980000000000018,32.35000000000002,18.950000000000045,110.1,94.6028571429,6.77142857143,120.1,26.653333333333336
16,2001-04-16,0.3125429,0.28221430000000003,0.2621286,0.4074857,77.73,23.912857142999997,22.835714285999984,31.950000000000045,19.650000000000034,120.32,94.6157142857,7.5,45.3,27.080000000000002
17,2001-04-23,0.2456143,0.2148429,0.27337140000000004,0.2288,78.01,24.81142857100002,22.27857142900001,34.650000000000034,20.05000000000001,78.3,88.14857142860001,10.2428571429,14.9,27.644444444433333
18,2001-04-30,0.2540143,0.179,0.31282859999999996,0.2625571,94.77,24.135714285999995,22.590000000000032,32.450000000000045,19.950000000000045,103.87,92.19285714290001,7.414285714289999,51.0,27.775000000000002
19,2001-05-07,0.2664571,0.1886,0.1962,0.22732860000000002,45.56,23.985714286000018,23.182857143000035,31.950000000000045,18.950000000000045,85.9,95.82,7.085714285710001,66.0,26.900000000000002
20,2001-05-14,0.3153429,0.31965,0.2627,0.30348569999999997,74.08,24.147142857000006,23.840000000000032,32.450000000000045,21.55000000000001,80.3,98.34142857139999,5.6428571428600005,0.0,26.822222222216666
21,2001-05-21,0.2985857,0.37966669999999997,0.1842429,0.26852859999999995,70.81,23.77285714300001,22.677142857000035,32.450000000000045,19.850000000000023,53.1,94.71,8.54285714286,64.1,27.377777777766667
22,2001-05-28,0.2999429,0.3029429,0.3187143,0.38744290000000003,90.07,23.695714285999998,22.03000000000003,31.650000000000034,18.650000000000034,20.3,91.4657142857,8.8,32.0,27.516666666666666
23,2001-06-04,0.36356669999999996,0.18191429999999997,0.2539714,0.2467286,126.46,23.541428570999983,21.310000000000002,34.450000000000045,18.350000000000023,30.63,89.4871428571,9.72857142857,17.0,26.8888888889
24,2001-06-11,0.3170833,0.2989667,0.2198714,0.2173429,47.13,22.332857143000012,21.191428571000017,29.450000000000045,18.75,95.06,94.0171428571,7.27142857143,37.1,26.76
25,2001-06-18,0.1041,0.10824289999999999,0.05965714,0.11375710000000001,53.93,22.850000000000023,20.49714285700003,32.05000000000001,17.850000000000023,13.45,88.1714285714,9.41428571429,9.9,26.7
26,2001-06-25,0.1923,0.2752857,0.3164571,0.3254143,1.22,21.695714285999998,17.422857142999987,32.950000000000045,15.25,1.82,79.3228571429,12.3428571429,31.0,25.28333333333333
27,2001-07-02,0.22908330000000002,0.1932667,0.2704571,0.2421857,52.1,22.645714285999986,19.602857142999994,31.850000000000023,18.150000000000034,23.6,84.8571428571,8.55714285714,70.1,26.566666666666666
28,2001-07-09,0.3597167,0.3110571,0.2649857,0.43884290000000004,39.09,22.658571429000062,20.288571429000058,34.05000000000001,17.150000000000034,16.7,88.3228571429,9.7,22.3,26.78333333333333
29,2001-07-16,0.3195,0.2050857,0.1947429,0.3616333,52.05,24.405714286000034,20.96571428599998,34.75,17.950000000000045,18.0,84.2457142857,11.4285714286,36.8,26.855555555566667
30,2001-07-23,0.2911571,0.2526333,0.2182,0.3259857,54.52,23.665714286000025,21.841428570999994,32.85000000000002,18.850000000000023,38.29,90.8142857143,10.2714285714,25.2,27.522222222233335
31,2001-07-30,0.23711669999999999,0.1956167,0.1883143,0.1339,27.97,24.141428571000006,20.30285714300004,34.950000000000045,16.650000000000034,9.71,82.2257142857,12.871428571400001,10.9,26.30666666666666
32,2001-08-06,0.20075710000000002,0.2377286,0.2236429,0.2043571,0.0,25.387142857000015,18.237142857000038,35.55000000000001,17.850000000000023,0.2,66.66428571430001,14.642857142899999,,26.133333333333336
33,2001-08-13,0.2821714,0.2735571,0.2658571,0.3664571,5.14,25.24571428600001,18.874285714000052,36.55000000000001,18.850000000000023,0.0,69.4757142857,13.3142857143,18.0,26.84166666666667
34,2001-08-20,0.2407571,0.1931143,0.2063429,0.2469143,9.97,25.29000000000002,20.867142857000033,35.650000000000034,18.55000000000001,30.1,78.3885714286,12.2,47.9,27.26666666666667
35,2001-08-27,0.2280714,0.19998570000000002,0.23314290000000001,0.2646429,47.58,25.601428570999985,20.575714285999993,38.05000000000001,19.850000000000023,16.9,76.9557142857,12.8,31.0,27.46666666666667
36,2001-09-03,0.30695,0.2410286,0.1908714,0.3389429,44.45,25.541428570999983,21.755714286,38.05000000000001,18.55000000000001,39.8,81.9871428571,13.4428571429,35.1,27.491666666666664
37,2001-09-10,0.3084571,0.2503143,0.2983,0.4290714,36.2,25.51571428599999,20.972857143,38.35000000000002,17.75,19.6,78.9571428571,13.7857142857,41.9,27.558333333333337
38,2001-09-17,0.3533143,0.34397140000000004,0.35867140000000003,0.3530429,66.4,24.81285714300003,21.447142857000017,35.85000000000002,19.75,65.54,84.0328571429,10.9285714286,69.0,27.575
39,2001-09-24,0.33467140000000006,0.3886143,0.2854,0.31977140000000004,26.48,25.55714285700003,21.145714285999986,37.25,18.55000000000001,21.9,79.3657142857,14.042857142899999,13.2,26.983333333333334
40,2001-10-01,0.3343857,0.2712857,0.2416857,0.4444,63.42,26.397142857000006,21.618571429000042,37.85000000000002,18.650000000000034,32.6,78.33,14.128571428599999,14.2,28.066666666666663
41,2001-10-08,0.4202857,0.3819571,0.4438,0.5460166999999999,58.75,26.00857142900003,20.662857142999997,39.150000000000034,17.650000000000034,12.3,74.4185714286,11.3428571429,30.9,29.04166666666666
42,2001-10-15,0.3102,0.29712859999999996,0.3454857,0.3820571,77.89,27.158571429000062,21.06428571400005,39.75,19.25,49.2,72.1628571429,12.885714285699999,159.0,28.1111111111
43,2001-10-22,0.1244833,0.2392667,0.1845,0.2055714,77.15,25.434285714000055,23.457142857000008,37.450000000000045,20.75,114.36,90.2657142857,9.85714285714,89.1,28.022222222233335
44,2001-10-29,0.2108857,0.2075667,0.2066143,0.23199999999999998,83.53,25.191428571000017,22.155714286000034,35.650000000000034,18.850000000000023,46.46,85.5728571429,11.271428571400001,76.0,28.313333333333333
45,2001-11-05,0.3581429,0.2793429,0.30597140000000006,0.3714,34.54,25.36428571400006,23.04571428600002,36.55000000000001,19.350000000000023,164.74,89.0042857143,10.1,35.1,27.741666666666664
46,2001-11-12,0.2773286,0.2303,0.2773,0.29697140000000005,61.82,25.697142857000017,23.04857142900005,37.35000000000002,20.850000000000023,181.2,87.48142857139999,9.7,43.9,27.98
47,2001-11-19,0.3297,0.3304167,0.3406429,0.4415714,65.89,25.970000000000027,23.602857142999994,36.35000000000002,21.05000000000001,56.3,88.83714285709999,9.22857142857,31.0,27.358333333333334
48,2001-11-26,0.3015,0.3613,0.30557140000000005,0.3699167,47.46,25.405714286000034,22.661428570999988,36.85000000000002,21.25,31.5,87.3771428571,8.014285714289999,12.2,28.44444444443333
49,2001-12-03,0.3250571,0.2264714,0.2992571,0.35047140000000004,46.86,25.604285714000014,22.831428571000004,35.35000000000002,21.450000000000045,158.5,87.24,8.87142857143,23.1,28.375
50,2001-12-10,0.3260333,0.2355333,0.31557140000000006,0.3066429,138.22,25.09571428600003,24.350000000000023,32.650000000000034,20.75,72.94,96.1185714286,7.785714285710001,75.0,27.94666666666667
51,2001-12-17,0.2229429,0.2240714,0.2128143,0.1841286,43.95,25.414285714000016,24.06142857100002,36.150000000000034,21.950000000000045,85.9,93.94714285709999,7.385714285710001,57.9,26.991666666666664
52,2001-12-24,0.29818890000000003,0.3380778,0.2887889,0.3417,100.72,25.088571429000012,24.361428571000033,33.55000000000001,21.55000000000001,109.64,96.3557142857,6.5,25.1,27.55
1,2002-01-01,0.40572859999999994,0.3484,0.3686429,0.3800143,70.16,23.98285714299999,22.910000000000025,31.350000000000023,19.350000000000023,109.8,94.5885714286,5.94285714286,45.3,28.05
2,2002-01-08,0.3275833,0.3759167,0.41026670000000004,0.3833333,64.79,26.862857143000042,21.76285714300002,36.650000000000034,21.650000000000034,5.5,76.6028571429,11.4,7.1,28.455555555566665
3,2002-01-15,0.24108569999999999,0.14565,0.27802859999999996,0.19764289999999998,22.77,26.727142857000047,21.45571428599999,36.25,18.650000000000034,4.7,75.2042857143,12.128571428599999,5.0,28.933333333333334
4,2002-01-22,0.1041286,0.1483286,0.1121857,0.1419143,121.07,25.76571428599999,21.960000000000036,35.55000000000001,20.05000000000001,19.91,81.5271428571,10.214285714299999,18.0,28.246666666666666
5,2002-01-29,,,,,59.4,23.708571429000017,22.987142857000038,31.05000000000001,20.950000000000045,43.12,96.2671428571,5.22857142857,120.2,26.53333333333333
6,2002-02-05,0.18491670000000002,0.1733286,0.16874289999999997,0.1844286,4.68,22.76285714300002,22.081428571000004,31.05000000000001,18.850000000000023,69.96,96.6414285714,5.18571428571,70.4,27.141666666666666
7,2002-02-12,0.29197140000000005,0.2241429,0.3051,0.37327140000000003,104.37,24.697142857000017,23.394285714000034,31.55000000000001,21.350000000000023,33.3,93.4385714286,7.7,62.8,27.416666666666668
8,2002-02-19,0.1288,0.12243330000000001,0.09594286,0.1251714,37.46,24.54571428600002,22.972857143,32.35000000000002,20.75,49.43,92.05,7.72857142857,14.0,27.173333333333332
9,2002-02-26,0.1162,0.17874289999999998,0.08991429,0.2104143,80.14,23.912857142999997,23.36428571400006,31.850000000000023,21.350000000000023,201.2,97.15714285709998,5.81428571429,47.6,26.46666666666667
10,2002-03-05,0.3183667,0.2556,0.266,0.2973833,92.84,25.390000000000043,23.54857142900005,35.650000000000034,21.350000000000023,160.1,91.2214285714,8.97142857143,48.3,28.183333333333337
11,2002-03-12,0.2483857,0.1795,0.2698143,0.29923330000000004,41.96,25.208571429000017,23.088571429000012,36.05000000000001,20.650000000000034,46.9,89.7785714286,9.41428571429,9.1,27.683333333333337
12,2002-03-19,0.2265857,0.2483333,0.2302,0.2435143,61.18,24.80142857100003,23.660000000000025,32.650000000000034,20.950000000000045,92.4,94.16571428569999,7.37142857143,76.8,26.95
13,2002-03-26,0.2127857,0.27455,0.1987,0.2284571,110.42,23.25714285700002,22.958571429000017,30.450000000000045,20.75,127.9,98.4571428571,4.4,49.0,26.366666666666664
14,2002-04-02,0.19708,0.29622859999999995,0.1805,0.2763286,94.01,24.02428571400003,23.591428570999994,30.75,21.350000000000023,122.3,97.77571428569999,6.18571428571,20.1,26.666666666666668
15,2002-04-09,0.2698286,0.19681429999999997,0.2025857,0.2662857,75.98,23.712857143000008,23.201428571000008,30.150000000000034,20.950000000000045,187.8,97.2442857143,5.1428571428600005,13.0,26.166666666666668
16,2002-04-16,0.26935,0.2121571,0.1889286,0.19494289999999997,109.49,24.61428571400006,23.160000000000025,31.850000000000023,21.25,49.8,92.6157142857,6.72857142857,,27.366666666666664
17,2002-04-23,0.2678429,0.2614143,0.2485,0.26692859999999996,45.59,24.434285714000055,23.48142857099998,32.05000000000001,20.75,96.1,95.2514285714,7.314285714289999,53.9,27.422222222233334
18,2002-04-30,0.1703571,0.1418286,0.1977286,0.2570714,60.05,24.25857142900003,23.07285714300002,30.650000000000034,19.650000000000034,52.6,93.8457142857,7.5,1.0,27.361111111116667
19,2002-05-07,0.2272571,0.17824289999999998,0.1773857,0.2101143,101.3,24.20571428599999,23.29428571400001,31.25,19.850000000000023,66.85,95.22,8.04285714286,25.4,27.599999999999998
20,2002-05-14,0.1338,0.1096333,0.2196143,0.1417,46.79,23.634285714000043,23.071428571000013,30.55000000000001,20.75,93.4,97.24285714290001,5.08571428571,543.3,26.655555555566664
21,2002-05-21,0.1921143,0.1776429,0.23085709999999998,0.2222,51.25,23.900000000000034,22.874285714000052,33.05000000000001,19.55000000000001,32.3,94.80428571430001,8.5,9.1,27.433333333333334
22,2002-05-28,0.1764571,0.17491429999999997,0.18815710000000002,0.2386286,41.54,24.407142857000053,23.121428571000024,32.75,19.25,58.02,93.78857142860001,7.65714285714,146.7,26.474999999999998
23,2002-06-04,0.3204714,0.2780857,0.2377286,0.3431857,72.76,23.117142857000033,22.085714285999984,32.150000000000034,18.350000000000023,19.12,94.3457142857,8.74285714286,28.0,27.433333333333334
24,2002-06-11,0.3862667,0.2591333,0.3284143,0.39162859999999994,69.62,24.107142857000042,22.957142857000008,32.650000000000034,20.25,39.48,94.1442857143,8.97142857143,1.0,27.5
25,2002-06-18,0.2212714,0.17351429999999998,0.2119714,0.2252143,39.16,23.657142857000053,20.72142857099999,33.25,15.25,22.95,85.7371428571,10.714285714299999,31.0,26.011111111099996
26,2002-06-25,0.17917139999999998,0.2791,0.1326143,0.2132857,3.18,22.658571429000062,18.99714285700003,32.150000000000034,16.850000000000023,14.1,82.1671428571,10.7285714286,7.1,25.78333333333333
27,2002-07-02,0.10154289999999999,0.1266,0.11935710000000001,0.07624286,3.27,21.485714286000018,18.644285714000034,31.950000000000045,14.25,6.2,85.5657142857,8.7,5.1,26.525000000000002
28,2002-07-09,0.21602,0.2350667,0.1511857,0.2129714,5.71,22.73285714299999,19.80000000000001,33.950000000000045,18.05000000000001,8.7,85.6728571429,8.78571428571,26.3,26.24444444443333
29,2002-07-16,0.10804289999999998,0.07298571,0.11122860000000001,0.11797139999999999,63.0,23.292857142999992,20.177142857000035,33.150000000000034,17.450000000000045,8.3,84.6685714286,11.171428571400002,0.0,25.2
30,2002-07-23,0.2225,0.2631,0.2489857,0.34647140000000004,65.55,23.725714286000027,20.27285714300001,34.25,15.150000000000034,12.41,83.4971428571,11.9714285714,68.1,26.96666666666667
31,2002-07-30,0.3870143,0.2601714,0.34927140000000007,0.2830571,89.93,24.01142857100001,21.47428571400002,35.35000000000002,19.650000000000034,23.33,87.0342857143,10.6,35.6,26.599999999999998
32,2002-08-06,0.3041167,0.2788429,0.3074571,0.3378429,14.34,23.645714285999986,19.52428571400003,34.85000000000002,15.950000000000045,5.44,80.47,13.457142857100001,0.0,27.150000000000002
33,2002-08-13,0.37715709999999997,0.3059,0.2884,0.3608429,9.81,25.154285714000025,18.52857142900001,35.75,17.650000000000034,1.7,69.06,14.385714285699999,7.1,27.844444444433332
34,2002-08-20,0.345425,0.31354,0.29505,0.3092667,31.71,23.03428571400002,19.30142857100003,35.450000000000045,15.650000000000034,5.61,82.1414285714,12.7571428571,70.6,27.172222222216664
35,2002-08-27,0.3045429,0.2694429,0.2508571,0.3224714,38.8,25.26285714300002,20.72428571400002,37.150000000000034,18.450000000000045,10.7,77.7657142857,12.8,24.1,27.8
36,2002-09-03,0.2290143,0.1319714,0.2494571,0.19088570000000002,81.85,26.24571428600001,21.381428571000015,37.35000000000002,20.75,13.1,77.0828571429,11.9285714286,17.0,27.466666666666665
37,2002-09-10,0.3075429,0.2941714,0.3234,0.1907714,25.36,25.865714286000014,20.06142857100002,36.85000000000002,16.850000000000023,3.2,73.1414285714,14.042857142899999,89.9,28.011111111099996
38,2002-09-17,0.3274143,0.3472571,0.33867140000000007,0.38387140000000003,11.49,27.170000000000016,19.121428571000024,38.05000000000001,18.650000000000034,0.8,64.6885714286,16.0285714286,0.8,29.0
39,2002-09-24,0.2379833,0.30842859999999994,0.2681143,0.3200429,38.56,26.088571429000012,21.26428571400004,39.450000000000045,18.350000000000023,41.1,79.5628571429,13.171428571400002,86.9,28.099999999999998
40,2002-10-01,0.2721143,0.17936670000000002,0.3142429,0.27417140000000007,70.98,26.504285714000048,20.664285714000016,40.05000000000001,18.650000000000034,24.1,74.25,13.7571428571,74.2,29.533333333333335
41,2002-10-08,0.37815,0.3857833,0.2314286,0.24593330000000002,70.22,25.56714285700002,22.51142857100001,37.450000000000045,20.25,34.4,85.1371428571,12.5285714286,79.8,28.15833333333333
42,2002-10-15,0.1992714,0.1592429,0.2581286,0.2277143,21.96,25.147142857000006,22.435714286000007,35.650000000000034,18.950000000000045,40.7,86.9985714286,10.6571428571,4.5,28.066666666666666
43,2002-10-22,0.2278714,0.21445709999999998,0.2997714,0.2229429,48.94,24.181428571000026,21.81142857100002,31.350000000000023,19.350000000000023,35.4,87.71714285709999,8.5,167.8,28.583333333333332
44,2002-10-29,0.3290857,0.2862143,0.2940571,0.31592859999999995,89.77,25.368571429000042,23.75,34.150000000000034,21.75,39.7,91.94428571430001,9.02857142857,34.1,28.241666666666664
45,2002-11-05,0.3071429,0.27695,0.2879286,0.3642857,95.47,24.387142857000015,23.487142857000038,33.35000000000002,20.75,124.2,95.2857142857,6.514285714290001,63.9,28.23333333333333
46,2002-11-12,0.2368333,0.2021571,0.20951430000000001,0.1620286,91.36,24.01571428599999,23.172857142999987,33.450000000000045,20.75,91.33,96.04714285709998,5.47142857143,212.6,27.53333333333333
47,2002-11-19,0.2506143,0.27913330000000003,0.2156333,0.2982667,61.69,24.225714286000027,23.631428571000015,32.75,21.25,85.8,96.84,7.4,77.0,27.516666666666666
48,2002-11-26,0.31092859999999994,0.28522859999999994,0.29072859999999995,0.2563286,60.15,25.200000000000045,23.922857142999987,36.35000000000002,18.850000000000023,56.92,93.3957142857,10.3857142857,17.2,28.03333333333333
49,2002-12-03,0.3008,0.2528,0.3449571,0.34832859999999993,49.69,25.174285714000064,23.335714285999984,33.650000000000034,21.150000000000034,49.2,90.66285714290001,8.0,46.0,28.366666666666664
50,2002-12-10,0.26802859999999995,0.14242860000000002,0.2886714,0.1850714,35.02,24.734285714000066,23.24000000000001,34.25,21.05000000000001,30.89,92.61428571430001,7.92857142857,57.2,28.183333333333334
51,2002-12-17,0.2542286,0.18391429999999998,0.2707143,0.2090286,25.73,24.668571429000053,23.477142857000047,32.85000000000002,21.650000000000034,24.3,93.8457142857,6.8571428571399995,24.0,28.426666666666666
52,2002-12-24,0.1194,0.1364,0.1718286,0.18958570000000002,151.73,24.722857143,23.480000000000018,32.55000000000001,20.650000000000034,54.7,93.40857142860001,8.0,137.9,27.891666666666666
1,2003-01-01,0.3234143,0.3004143,0.32918569999999997,0.31842859999999995,46.91,26.225714286000027,22.72142857099999,35.450000000000045,19.950000000000045,28.3,84.06,12.1,92.9,28.416666666666668
2,2003-01-08,0.4884,0.4024429,0.4149286,0.4697,11.77,24.53428571400002,22.79428571400001,35.450000000000045,18.350000000000023,33.6,91.56,8.42857142857,35.1,28.677777777766664
3,2003-01-15,0.303,0.16946670000000003,0.2915429,0.3012857,60.46,23.77000000000004,22.75142857100002,32.05000000000001,20.25,27.9,94.3742857143,7.74285714286,164.4,27.933333333333334
4,2003-01-22,0.2249571,0.2602714,0.20692860000000002,0.2895,84.05,24.975714286000027,21.851428570999985,34.55000000000001,18.450000000000045,8.8,84.46,10.2714285714,67.1,28.53333333333333
5,2003-01-29,0.1660286,0.1406286,0.19138570000000002,0.1834429,35.05,26.337142857000003,20.862857143000042,36.85000000000002,19.350000000000023,6.26,74.8842857143,11.771428571400001,7.9,28.833333333333332
6,2003-02-05,0.19145,0.08642857,0.1368,0.15671429999999997,56.36,24.06857142900003,23.06857142900003,31.75,18.850000000000023,170.6,94.55285714290001,7.45714285714,41.9,27.599999999999998
7,2003-02-12,0.3137143,0.22841430000000001,0.2521143,0.28647140000000004,70.63,23.435714286000007,22.370000000000005,29.75,20.05000000000001,38.7,94.3542857143,6.02857142857,55.9,27.45
8,2003-02-19,0.1262571,0.13551429999999998,0.10365710000000002,0.13371429999999998,25.03,25.417142857000044,23.242857143000037,35.450000000000045,19.350000000000023,41.1,89.97428571430001,10.885714285699999,121.9,27.924999999999997
