city,year,weekofyear,total_cases
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,5
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,6
iq,2011,40,7
iq,2011,41,7
iq,2011,42,8
iq,2011,43,8
iq,2011,44,9
iq,2011,45,9
iq,2011,46,10
iq,2011,47,10
iq,2011,48,10
iq,2011,49,11
iq,2011,50,11
iq,2011,51,11
iq,2012,52,12
iq,2012,1,12
iq,2012,2,12
iq,2012,3,12
iq,2012,4,12
iq,2012,5,12
iq,2012,6,12
iq,2012,7,11
iq,2012,8,11
iq,2012,9,11
iq,2012,10,11
iq,2012,11,11
iq,2012,12,11
iq,2012,13,10
iq,2012,14,10
iq,2012,15,9
iq,2012,16,9
iq,2012,17,9
iq,2012,18,9
iq,2012,19,9
iq,2012,20,8
iq,2012,21,8
iq,2012,22,7
iq,2012,23,7
iq,2012,24,7
iq,2012,25,7
iq,2012,26,7
iq,2012,27,7
iq,2012,28,7
iq,2012,29,7
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,8
iq,2012,34,8
iq,2012,35,8
iq,2012,36,8
iq,2012,37,9
iq,2012,38,9
iq,2012,39,9
iq,2012,40,9
iq,2012,41,10
iq,2012,42,10
iq,2012,43,10
iq,2012,44,11
iq,2012,45,11
iq,2012,46,11
iq,2012,47,11
iq,2012,48,11
iq,2012,49,11
iq,2012,50,11
iq,2012,51,11
iq,2013,1,11
iq,2013,2,11
iq,2013,3,11
iq,2013,4,11
iq,2013,5,11
iq,2013,6,11
iq,2013,7,11
iq,2013,8,10
iq,2013,9,10
iq,2013,10,10
iq,2013,11,9
iq,2013,12,9
iq,2013,13,9
iq,2013,14,9
iq,2013,15,8
iq,2013,16,8
iq,2013,17,8
iq,2013,18,8
iq,2013,19,8
iq,2013,20,7
iq,2013,21,7
iq,2013,22,6
iq,2013,23,6
iq,2013,24,6
iq,2013,25,5
iq,2013,26,5
