city,year,weekofyear,total_cases
sj,2011,37,30
sj,2011,38,28
sj,2011,39,26
sj,2011,40,24
sj,2011,41,22
sj,2011,42,20
sj,2011,43,18
sj,2011,44,17
sj,2011,45,16
sj,2011,46,15
sj,2011,47,15
sj,2011,48,15
sj,2011,49,16
sj,2011,50,16
sj,2011,51,17
sj,2012,52,18
sj,2012,1,19
sj,2012,2,21
sj,2012,3,22
sj,2012,4,23
sj,2012,5,25
sj,2012,6,27
sj,2012,7,28
sj,2012,8,30
sj,2012,9,31
sj,2012,10,33
sj,2012,11,34
sj,2012,12,36
sj,2012,13,37
sj,2012,14,37
sj,2012,15,38
sj,2012,16,38
sj,2012,17,38
sj,2012,18,38
sj,2012,19,38
sj,2012,20,38
sj,2012,21,38
sj,2012,22,37
sj,2012,23,37
sj,2012,24,37
sj,2012,25,36
sj,2012,26,35
sj,2012,27,34
sj,2012,28,33
sj,2012,29,31
sj,2012,30,30
sj,2012,31,28
sj,2012,32,27
sj,2012,33,25
sj,2012,34,23
sj,2012,35,21
sj,2012,36,20
sj,2012,37,18
sj,2012,38,17
sj,2012,39,16
sj,2012,40,14
sj,2012,41,14
sj,2012,42,13
sj,2012,43,12
sj,2012,44,12
sj,2012,45,12
sj,2012,46,12
sj,2012,47,13
sj,2012,48,14
sj,2012,49,14
sj,2012,50,15
sj,2012,51,16
sj,2013,1,17
sj,2013,2,18
sj,2013,3,20
sj,2013,4,20
sj,2013,5,21
sj,2013,6,21
sj,2013,7,22
sj,2013,8,22
sj,2013,9,23
sj,2013,10,24
sj,2013,11,25
sj,2013,12,26
sj,2013,13,28
sj,2013,14,29
sj,2013,15,30
sj,2013,16,32
sj,2013,17,33
iq,2010,26,7
iq,2010,27,7
iq,2010,28,6
iq,2010,29,6
iq,2010,30,5
iq,2010,31,5
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,3
iq,2010,36,3
iq,2010,37,3
iq,2010,38,3
iq,2010,39,3
iq,2010,40,3
iq,2010,41,3
iq,2010,42,3
iq,2010,43,2
iq,2010,44,2
iq,2010,45,1
iq,2010,46,1
iq,2010,47,1
iq,2010,48,1
iq,2010,49,0
iq,2010,50,0
iq,2010,51,0
iq,2011,52,0
iq,2011,1,0
iq,2011,2,0
iq,2011,3,0
iq,2011,4,0
iq,2011,5,0
iq,2011,6,0
iq,2011,7,0
iq,2011,8,0
iq,2011,9,1
iq,2011,10,1
iq,2011,11,2
iq,2011,12,2
iq,2011,13,2
iq,2011,14,3
iq,2011,15,3
iq,2011,16,4
iq,2011,17,4
iq,2011,18,4
iq,2011,19,4
iq,2011,20,4
iq,2011,21,5
iq,2011,22,5
iq,2011,23,5
iq,2011,24,6
iq,2011,25,6
iq,2011,26,6
iq,2011,27,7
iq,2011,28,7
iq,2011,29,7
iq,2011,30,7
iq,2011,31,7
iq,2011,32,7
iq,2011,33,7
iq,2011,34,7
iq,2011,35,7
iq,2011,36,7
iq,2011,37,7
iq,2011,38,6
iq,2011,39,6
iq,2011,40,6
iq,2011,41,6
iq,2011,42,5
iq,2011,43,5
iq,2011,44,4
iq,2011,45,4
iq,2011,46,4
iq,2011,47,4
iq,2011,48,3
iq,2011,49,3
iq,2011,50,2
iq,2011,51,2
iq,2012,52,1
iq,2012,1,1
iq,2012,2,1
iq,2012,3,1
iq,2012,4,0
iq,2012,5,1
iq,2012,6,1
iq,2012,7,1
iq,2012,8,1
iq,2012,9,1
iq,2012,10,2
iq,2012,11,2
iq,2012,12,2
iq,2012,13,2
iq,2012,14,3
iq,2012,15,3
iq,2012,16,3
iq,2012,17,2
iq,2012,18,2
iq,2012,19,2
iq,2012,20,2
iq,2012,21,2
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,5
iq,2012,30,5
iq,2012,31,5
iq,2012,32,6
iq,2012,33,6
iq,2012,34,6
iq,2012,35,6
iq,2012,36,6
iq,2012,37,6
iq,2012,38,6
iq,2012,39,6
iq,2012,40,6
iq,2012,41,6
iq,2012,42,5
iq,2012,43,5
iq,2012,44,5
iq,2012,45,5
iq,2012,46,5
iq,2012,47,5
iq,2012,48,5
iq,2012,49,5
iq,2012,50,5
iq,2012,51,5
iq,2013,1,5
iq,2013,2,5
iq,2013,3,5
iq,2013,4,5
iq,2013,5,5
iq,2013,6,5
iq,2013,7,5
iq,2013,8,5
iq,2013,9,6
iq,2013,10,6
iq,2013,11,6
iq,2013,12,6
iq,2013,13,6
iq,2013,14,6
iq,2013,15,6
iq,2013,16,6
iq,2013,17,5
iq,2013,18,5
iq,2013,19,5
iq,2013,20,5
iq,2013,21,5
iq,2013,22,5
iq,2013,23,5
iq,2013,24,6
iq,2013,25,6
iq,2013,26,6
